,Name,Ticker,Price,Sector,MarketCap,PE,ROE,ROA
BOSC,BOSC,B.O.S. Better Online Solutions,,,,,,
BOTJ,"Bank of the James Financial Group, Inc.",BOTJ,9.8,Financial Services,42526512,8.901,0.07776,0.00634
BPTH,BPTH,Bio,,,,,,
BRLIU,BRLIU,Brilliant Acquisition Corporation,,,,,,
BROG,BROG,Brooge Energy Limited,,,,,,
BSBK,BSBK,Bogota Financial Corp.,,,,,,
BSGM,BSGM,"BioSig Technologies, Inc.",,,,,,
BSQR,BSQR,BSQUARE Corporation,,,,,,
BTAI,BTAI,"BioXcel Therapeutics, Inc.",,,,,,
BVXV,BVXV,BiondVax Pharmaceuticals Ltd.,,,,,,
BWB,"Bridgewater Bancshares, Inc.",BWB,9.38,Financial Services,270266880,8.75817,0.13264,0.014249999
BWEN,BWEN,"Broadwind, Inc.",,,,,,
BWMX,BWMX,"Betterware de Mexico, S.A.P.I de C.V.",,,,,,
BXRX,BXRX,"Baudax Bio, Inc.",,,,,,
BYFC,BYFC,Broadway Financial Corporation,,,,,,
BYSI,BYSI,"BeyondSpring, Inc.",,,,,,
CAAS,"China Automotive Systems, Inc.",CAAS,2.69,Consumer Cyclical,86990032,9.889706,0.02169,0.00538
CAPR,CAPR,"Capricor Therapeutics, Inc.",,,,,,
CARV,CARV,"Carver Bancorp, Inc.",,,,,,
CASI,CASI,"CASI Pharmaceuticals, Inc.",,,,,,
CATC,Cambridge Bancorp,CATC,53.48,Financial Services,371145856,10.215855,0.111870006,0.01053
CBIO,CBIO,"Catalyst Biosciences, Inc.",,,,,,
CBMB,"CBM Bancorp, Inc.",CBMB,11.82,Financial Services,45426152,57.101448,0.013830001,0.0036300002
CCNC,CCNC,Code Chain New Continent Limited,,,,,,
CCRC,"China Customer Relations Centers, Inc.",CCRC,4.61,Technology,84499456,6.492958,0.22184,0.09267
CDEV,CDEV,"Centennial Resource Development, Inc.",,,,,,
CDMO,CDMO,"Avid Bioservices, Inc.",,,,,,
CDXC,CDXC,ChromaDex Corporation,,,,,,
CELC,CELC,Celcuity Inc.,,,,,,
CELH,CELH,"Celsius Holdings, Inc.",,,,,,
